graph,round,accepted,before_kaw,after_kaw,before_max_kaw,after_max_kaw,before_sym,after_sym,before_mae,after_mae,crossing_free,projection,projection_2,gradient,z3,worst_before
0,1,True,0.16592012568195086,0.11255790192622908,1.0671543840693731,0.9686225269306257,0.18571529361006614,0.17011201393951508,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0672; 22:0.5037; 15:0.3994; 20:0.0583
0,2,True,0.11255790192622908,0.11050791302853288,0.9686225269306257,0.9647044469491819,0.17011201393951508,0.16936963030382593,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.9686; 15:0.1692; 20:0.1380; 17:0.1054
0,3,False,0.11050791302853288,0.11050791302853288,0.9647044469491819,0.9647044469491819,0.16936963030382593,0.16936963030382593,0.0,0.0,True,accepted,not improved,not improved,sat,21:0.9647; 15:0.1642; 20:0.1544; 17:0.1064
1,1,True,0.19674009310076634,0.12660781789671519,1.0527177425371659,0.7783502880194426,0.1875967678496952,0.1698971834546848,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0527; 22:0.4848; 12:0.2572; 15:0.1917
1,2,True,0.12660781789671519,0.11004792128034653,0.7783502880194426,0.6350374592662229,0.1698971834546848,0.16295481941968412,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.7784; 15:0.3300; 14:0.1844; 20:0.1627
1,3,True,0.11004792128034653,0.1093027025783321,0.6350374592662229,0.6352078138056609,0.16295481941968412,0.1629652194125181,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6350; 15:0.2819; 20:0.2765; 17:0.1204
1,4,False,0.1093027025783321,0.1093027025783321,0.6352078138056609,0.6352078138056609,0.1629652194125181,0.1629652194125181,0.0,0.0,True,accepted,not improved,not improved,sat,21:0.6352; 15:0.2840; 20:0.2760; 17:0.1194
2,1,True,0.2140439149657553,0.08589712399709434,0.9101470650440309,0.8553069638301594,0.1364766547297223,0.11007039024466511,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.9101; 20:0.4511; 14:0.3708; 22:0.3361
2,2,True,0.08589712399709434,0.0842540234169018,0.8553069638301594,0.8856216850297671,0.11007039024466511,0.11025864064124676,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.8553; 23:0.0743; 19:0.0515; 15:0.0440
2,3,False,0.0842540234169018,0.0842540234169018,0.8856216850297671,0.8856216850297671,0.11025864064124676,0.11025864064124676,0.0,0.0,True,not improved,not improved,not improved,sat,20:0.8856; 23:0.1045; 15:0.0473; 18:0.0440
3,1,True,0.19950471171469536,0.12023928318674967,1.0527177425371659,0.9150451356291609,0.18646648094416343,0.1734293115488929,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0527; 22:0.5037; 15:0.2739; 12:0.2076
3,2,False,0.12023928318674967,0.12023928318674967,0.9150451356291609,0.9150451356291609,0.1734293115488929,0.1734293115488929,0.0,0.0,True,accepted,not improved,not improved,sat,21:0.9150; 20:0.2276; 15:0.1354; 17:0.1280
4,1,True,0.2341779559301117,0.10960554365280753,1.060460366197474,0.8512954957800276,0.18188314513428286,0.18619660385597012,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0605; 22:0.4189; 15:0.3122; 16:0.2242
4,2,True,0.10960554365280753,0.1060578078102574,0.8512954957800276,0.8224433520202257,0.18619660385597012,0.18549631057332622,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.8513; 20:0.1543; 12:0.1412; 15:0.1272
4,3,False,0.1060578078102574,0.1060578078102574,0.8224433520202257,0.8224433520202257,0.18549631057332622,0.18549631057332622,0.0,0.0,True,accepted,not improved,not improved,sat,21:0.8224; 20:0.1837; 12:0.1410; 15:0.1283
5,1,True,0.1925381973280721,0.0980260068713099,0.7951882797513417,0.760967790692546,0.12901890547159636,0.11144487310269444,0.0,0.0,True,accepted,accepted,accepted,sat,21:0.7952; 20:0.4828; 14:0.3699; 18:0.1440
5,2,True,0.0980260068713099,0.08509711716221917,0.760967790692546,0.745288678419612,0.11144487310269444,0.11747306910167635,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.7610; 23:0.1374; 10:0.1157; 21:0.1150
5,3,True,0.08509711716221917,0.10089777737190544,0.745288678419612,0.7140575085145549,0.11747306910167635,0.11165061260673441,0.0,0.0,True,accepted,accepted,accepted,sat,20:0.7453; 10:0.0889; 23:0.0878; 12:0.0730
5,4,True,0.10089777737190544,0.09239872195023323,0.7140575085145549,0.6805282386410272,0.11165061260673441,0.11503057638075709,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.7141; 10:0.1525; 22:0.1129; 23:0.0936
5,5,True,0.09239872195023323,0.07782632130679425,0.6805282386410272,0.605884775130928,0.11503057638075709,0.11808347840288698,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.6805; 23:0.1276; 14:0.1163; 10:0.1125
5,6,True,0.07782632130679425,0.07794650969771114,0.605884775130928,0.6038194539721262,0.11808347840288698,0.11796399460014258,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.6059; 23:0.1342; 10:0.1183; 12:0.0886
best,1,True,0.16592012568195086,0.11732881637248835,1.0671543840693731,0.9956483353476515,0.18571529361006614,0.17211623985819471,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0672; 22:0.5037; 15:0.3994; 20:0.0583
